id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401128622,2019,1,regular,2019-08-24T16:00:00.000Z,False,False,False,,3617,Andy Kerr Stadium,2142,Colgate,Patriot,fcs,14.0,"[0, 0, 7, 7]",,,,222,Villanova,CAA,fcs,34.0,"[0, 27, 0, 7]",,,,,,
401127303,2019,1,regular,2019-08-24T19:00:00.000Z,False,True,False,,3689,Cramton Bowl,2535,Samford,Southern,fcs,22.0,"[7, 0, 0, 15]",,,,2754,Youngstown State,MVFC,fcs,45.0,"[14, 10, 0, 21]",,,,,,GUARDIAN CREDIT UNION FCS KICKOFF
401110723,2019,1,regular,2019-08-24T23:00:00.000Z,,True,False,66543.0,4013,Camping World Stadium,57,Florida,SEC,fbs,24.0,"[7, 0, 10, 7]",0.9059534582132265,1683.0,1688.0,2390,Miami,ACC,fbs,20.0,"[3, 10, 0, 7]",0.09404654178677352,1611.0,1606.0,8.7679102419,https://www.youtube.com/watch?v=WeJi4p0jqXA,CAMPING WORLD KICKOFF
401114164,2019,1,regular,2019-08-25T02:30:00.000Z,,False,False,22396.0,3610,Aloha Stadium,62,Hawai'i,Mountain West,fbs,45.0,"[14, 14, 7, 10]",0.6886295726282241,1281.0,1302.0,12,Arizona,Pac-12,fbs,38.0,"[0, 21, 14, 3]",0.3113704273717759,1467.0,1446.0,7.84241686779999,https://www.youtube.com/watch?v=eJI8vkRqz0o,
401128597,2019,1,regular,2019-08-29T22:00:00.000Z,False,False,False,,3774,Jayne Stadium,2413,Morehead State,Pioneer,fcs,44.0,"[7, 16, 14, 7]",,,,2841,Union College,,,7.0,"[0, 0, 0, 7]",,,,,,
401119254,2019,1,regular,2019-08-29T23:00:00.000Z,False,False,False,17620.0,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,fbs,46.0,"[13, 17, 7, 9]",0.9999785280584667,,,2415,Morgan State,MEAC,fcs,3.0,"[0, 3, 0, 0]",0.000021471941533346417,,,0.4729679719,,
401127039,2019,1,regular,2019-08-29T23:00:00.000Z,False,False,False,,3695,Delaware Stadium,48,Delaware,CAA,fcs,31.0,"[3, 13, 9, 6]",,,,2169,Delaware State,MEAC,fcs,13.0,"[3, 3, 0, 7]",,,,,,
401127042,2019,1,regular,2019-08-29T23:00:00.000Z,False,False,False,,2068,E. Claiborne Robins Stadium,257,Richmond,CAA,fcs,38.0,"[14, 17, 7, 0]",,,,294,Jacksonville,Pioneer,fcs,19.0,"[0, 6, 0, 13]",,,,,,
401127043,2019,1,regular,2019-08-29T23:00:00.000Z,False,False,False,,3788,Kenneth P. LaValle Stadium,2619,Stony Brook,CAA,fcs,35.0,"[7, 7, 14, 7]",,,,2803,Bryant,NEC,fcs,10.0,"[0, 3, 0, 7]",,,,,,
401128354,2019,1,regular,2019-08-29T23:00:00.000Z,False,False,False,,3908,Roy Kidd Stadium,2198,Eastern Kentucky,OVC,fcs,53.0,"[15, 17, 7, 14]",,,,2674,Valparaiso,Pioneer,fcs,7.0,"[0, 0, 7, 0]",,,,,,
